category,status_type,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6
Elemental,Fumos,tossindo-1,falta-oxigênio-2,engasgando-3,asfixiando-4,desmaiado-5,morto-6
Elemental,Gelo,congelado-1,numb-2,membros-congelados-3,hipotermia-4,congelado-sólido-5,quebrado-6
Elemental,Laser,queimado-1,queimado-2,explodido-3,derretendo-4,separado-5,desintegrado-6
Elemental,Sufocação,falta-oxigênio-1,ar-esgotado-2,pânico-3,desmaio-4,inconsciente-5,morto-6
Elemental,Água,encharcado-1,lutando-na-água-2,pânico-3,pulmões-enchendo-água-4,afogado-5,corpo-recuperado-6
Saúde,Contaminação,exposição-1,pele-coceira-2,enjoado-3,febril-4,falha-orgânica-5,morto-6
Saúde,Doença,tosse-1,infectado-2,doente-3,deitado-cama-4,choque-sistema-5,morto-6
Saúde,Intoxicação Alimentar,náusea-1,cãibras-estomacais-2,vômito-violento-3,doente-exausto-4,hospitalizado-5,morto-6
Saúde,Mental (também intoxicação),disperso-1,atordoado-2,confuso-3,perplexo-4,psicótico-5,
Saúde,Venenos,erupção-1,veneno-espalhando-2,paralisado-3,espasmos-4,choque-sistema-5,morto-6
Saúde,Poluição,garganta-irritada-1,tosse-persistente-2,dificuldade-respirar-3,dano-pulmonar-4,falha-respiratória-5,morto-6
Saúde,Radiação,exposição-1,queimaduras-radiação-2,tosse-sangue-3,falha-orgânica-4,doença-terminal-radiação-5,morto-6
Perseguição,Sendo Seguido,suspeito-1,notado-2,evasivo-3,quase-perdido-4,indo-5,pego-6
Perseguição,Perseguição,spotado-1,caindo-atraso-2,fechando-gap-3,lado-a-lado-4,encurralado-5,destruído-6
Perseguição,Perseguindo a Pé,atrasando-1,acelerando-2,fechando-3,quase-lá-4,tackle-5,neutralizado-6
Perseguição,Fugindo,spotado-1,gainando-distância-2,quase-claro-3,fora-de-visão-4,fugiu-5,
Perseguição,Fugindo a Pé,spotado-1,quebrando-longe-2,quase-claro-3,fora-de-visão-4,fugiu-5,sem-rastros-6
Perseguição,Seguindo,trailing-1,mantendo-distância-2,fechando-3,quase-lá-4,direita-atras-5,pego-6
Sensorial,Consciência,inconsciente-1,distraído-2,atento-3,sentidos-afiados-4,hiper-consciente-5,
Sensorial,Camuflagem,parcialmente-mesclado-1,mesclado-2,perfeitamente-combinando-3,camuflagem-adaptativa-4,camarão-5,invisível-6
Sensorial,Vantagem na Escuridão,luz-fraca-1,sombreado-2,oculto-sombras-3,quase-invisível-4,único-com-escuridão-5,
Sensorial,Disfarce,alteração-minor-1,cobertura-plausível-2,convincente-3,imitação-perfeita-4,mestre-disfarce-5,inreconhecível-6
Sensorial,Medo,hesitante-1,desanimado-2,medroso-3,aterrorizado-4,petrificado-5,assustado-morte-6
Sensorial,Concentração (-),distraído-1,perdendo-concentração-2,confuso-3,desorientado-4,mentalmente-bloqueado-5,
Sensorial,Concentração (+),alerta-1,concentrado-2,no-zona-3,hiper-focado-4,,
Sensorial,Oculto,oculto-1,obscurecido-2,bem-oculto-3,invisível-4,mesclado-sombra-5,indetectável-6
Sensorial,Humor,melancólico-1,triste-2,deprimido-3,quebrado-4,desesperado-5,suicida-6
Sensorial,Movendo-Despercebido,quieto-1,furtivo-2,fantasma-3,mesclando-4,inrastreável-5,fantasma-6
Sensorial,Surpresa,assustado-1,choque-2,atordoado-3,sobrecarga-4,completamente-perdido-5,
Sensorial,Visão,obstruído-1,nublado-2,desorientado-3,mal-virando-4,cego-5,legalmente-cego-6
Sociedade,Charme,interessado-1,encantado-2,charmoso-3,hipnotizado-4,controlado-5,escravizado-6
Sociedade,Financeiro,orçamento-tenso-1,excedendo-gastos-2,risco-financeiro-3,endividado-4,falido-5,
Sociedade,Legal,advertência-1,monitorado-2,mandado-prisão-3,procurado-4,mais-procurado-5,
Sociedade,Sociedade (-),envergonhado-1,no-momento-2,humilhado-3,piada-popular-4,ostracizado-5,
Sociedade,Sociedade (+),atenção-1,interessante-2,admirado-3,vida-festa-4,mania-mídia-5,
Sobrenatural,Demoníaco,marcado-1,manchado-2,corrompido-3,influência-demoníaca-4,possuído-5,devorado-6
Sobrenatural,Divino,tocado-1,abençoado-2,empoderado-3,radiância-sagrada-4,ascendido-5,transcendido-6
Sobrenatural,Fey,iluminado-1,encantado-2,glamourizado-3,prisioneiro-sonhos-4,toque-fey-5,perdido-feywild-6
Sobrenatural,Mágico,faísca-1,resíduo-arcano-2,amaldiçoado-3,amaldiçoado-4,distorcido-5,desfeito-6
Sobrenatural,A-Névoa,detalhes-vagos-1,lapso-memória-2,perda-memória-3,amnésia-4,oblivioso-5,
Sobrenatural,Morto-Vivo,assombrado-1,drenado-2,morto-vivo-3,possuído-4,desfeito-5,devorado-6
